Quantify Compound Summary Report 

Printed Thu Dec 20 12:58:55 2018

Compound 1:  Salicin_2ion

	#	ID	Name	Type	Std. Conc	RT	Area	IS Area	Response	Detection Flags	Conc.	%Dev
6	6	Batch 2	SalicortinSTD_0015_1214_A	Standard	0.0000	9.29	74	1114368	0.000	bbI		
7	7	Batch 2	SalicortinSTD_003_1214_A	Standard	0.0000	9.08	73	1120059	0.000	bbI		
8	8	Batch 2	SalicortinSTD_015_1214_A	Standard	0.0000			1115170				
9	9	Batch 2	SalicortinSTD_0375_1214_A	Standard	0.0000	9.19	33	1149782	0.000	bb	0.176713	
10	10	Batch 2	SalicortinSTD_075_1214_A	Standard	0.0000	9.24	70	1063227	0.000	bbI		
11	11	Batch 2	SalicortinSTD_100_1214_A	Standard	0.0000	9.47	8	1057885	0.000	bb	0.041263	
12	12	Batch 2	BLANK_20181214_C	Blank				325				
13	13	Batch 2	TremulacinSTD_0015_1214_A	Standard	0.0150			1154850				
14	14	Batch 2	TremulacinSTD_003_1214_A	Standard	0.0300			1147625				
15	15	Batch 2	TremulacinSTD_015_1214_A	Standard	0.1500			1273731				
16	16	Batch 2	TremulacinSTD_0375_1214_A	Standard	0.3750	9.16	52	1174120	0.000	bb	0.303134	-19.2
17	17	Batch 2	TremulacinSTD_075_1214_A	Standard	0.7500	9.29	102	1264146	0.000	bbI		-100.0
18	18	Batch 2	TremulacinSTD_100_1214_A	Standard	1.0000	9.26	47	1155818	0.000	bb	0.266466	-73.4
19	19	Batch 2	BLANK_20181214_D	Blank		9.39	27	254	0.105	bbI		
20	20	Batch 2	TremuloidinSTD_0015_1214_A	Standard	0.0000			1151700				
21	21	Batch 2	TremuloidinSTD_003_1214_A	Standard	0.0000	9.29	32	1196201	0.000	bb	0.158805	
22	22	Batch 2	TremuloidinSTD_015_11214_A	Standard	0.0000	9.24	27	1183909	0.000	bb	0.133563	
23	23	Batch 2	TremuloidinSTD_0375_1214_A	Standard	0.0000	9.42	76	1330038	0.000	bb	0.457450	
24	24	HS Batch 5-2	BLANK_17122018_A	Blank		8.99	23	1027	0.022	bbI		
25	25	HS Batch 5-2	HS-5b_241_1712_A	Analyte		9.27	21352	1125613	0.019	bbI		
26	26	HS Batch 5-2	HS-5b_255_1712_A	Analyte		9.27	20934	1155653	0.018	bbI		
27	27	HS Batch 5-2	HS-205_redo-b	Analyte		9.27	3875	1123437	0.003	bbI		
28	28	HS Batch 5-2	HS-222_redo-b	Analyte		9.27	15863	1151073	0.014	bbI		
29	29	HS Batch 5-2	HS-234-b	Analyte		9.27	14345	1119429	0.013	bbI		
30	30	HS Batch 5-2	HS-235-b	Analyte		9.27	7464	1112813	0.007	bbI		
31	31	HS Batch 5-2	HS-236-b	Analyte		9.27	11186	1129279	0.010	bbI		
32	32	HS Batch 5-2	HS-237-b	Analyte		9.27	13759	1142018	0.012	bbI		
33	33	HS Batch 5-2	HS-238-b	Analyte		9.27	32281	1101656	0.029	bbI		
34	34	HS Batch 5-2	HS-239-b	Analyte		9.27	44297	1083803	0.041	bbI		
35	35	HS Batch 5-2	HS-240-b	Analyte		9.24	14134	1066063	0.013	bbI		
36	36	HS Batch 5-2	HS-241-b	Analyte		9.24	13507	1163888	0.012	bbI		
37	37	HS Batch 5-2	HS-242-b	Analyte		9.24	13005	1128783	0.012	bbI		
38	38	HS Batch 5-2	HS-243-b	Analyte		9.24	17601	1112298	0.016	bbI		
39	39	HS Batch 5-2	HS-244-b	Analyte		9.24	23700	1089257	0.022	bbI		
40	40	HS Batch 5-2	HS-5b_241_1712_B	Analyte		9.24	21602	1162667	0.019	bbI		
41	41	HS Batch 5-2	HS-5b_255_1712_B	Analyte		9.24	22640	1192957	0.019	bbI		
42	42	HS Batch 5-2	HS-245-b	Analyte		9.24	3897	1081857	0.004	bbI		
43	43	HS Batch 5-2	HS-246-b	Analyte		9.24	8676	1078410	0.008	bbI		
