Quantify Compound Summary Report 

Printed Tue Dec 04 12:09:22 2018

Compound 1:  Salicin_2ion

	#	ID	Name	Type	Std. Conc	RT	Area	IS Area	Response	Detection Flags	Conc.	%Dev
172	172	HS Batch 5	HS-278	Analyte		8.41	7680	409521	0.019	bbI		
173	173	HS Batch 5	HS-279	Analyte		8.41	2751	408650	0.007	bbI		
174	174	HS Batch 5	HS-280	Analyte		8.41	7753	462089	0.017	bbI		
175	175	HS Batch 5	HS-281	Analyte		8.41	3437	450592	0.008	bbI		
176	176	HS Batch 5	HS-282	Analyte		8.41	4500	363538	0.012	bbI		
177	177	HS Batch 5	HS-283	Analyte		8.41	4887	482467	0.010	bbI		
178	178	HS Batch 5	HS-5_242_1911_E	Analyte		8.41	8370	512108	0.016	bbI		
179	179	HS Batch 5	HS-5_259_1911_E	Analyte		8.41	9669	502163	0.019	bbI		
180	180	HS Batch 5	HS-284	Analyte		8.41	10142	402393	0.025	bbI		
181	181	HS Batch 5	HS-285	Analyte		8.38	35442	988670	0.036	bbI		
182	182	HS Batch 5	HS-286	Analyte		8.38	8539	409902	0.021	bbI		
183	183	HS Batch 5	HS-287	Analyte		8.41	11371	390234	0.029	bbI		
184	184	HS Batch 5	HS-288	Analyte		8.38	5659	409297	0.014	bbI		
185	185	HS Batch 5	HS-289	Analyte		8.38	8627	337220	0.026	bbI		
186	186	HS Batch 5	HS-290	Analyte		8.41	2198	328088	0.007	bbI		
187	187	HS Batch 5	HS-291	Analyte		8.38	9058	444820	0.020	bbI		
188	188	HS Batch 5	HS-292	Analyte		8.38	6817	348654	0.020	bbI		
189	189	HS Batch 5	HS-293	Analyte		8.38	15195	463003	0.033	bbI		
190	190	HS Batch 5	HS-294	Analyte		8.36	15251	480531	0.032	bbI		
191	191	HS Batch 5	HS-295	Analyte		8.38	6137	361951	0.017	bbI		
192	192	HS Batch 5	HS-296	Analyte		8.36	10276	370270	0.028	bbI		
193	193	HS Batch 5	HS-5_242_1911_F	Analyte		8.36	6757	391121	0.017	bbI		
194	194	HS Batch 5	HS-5_259_1911_F	Analyte		8.38	7441	365996	0.020	bbI		
195	195	HS Batch 5	HS-297	Analyte		8.36	11724	608111	0.019	bbI		
196	196	HS Batch 5	HS-298	Analyte		8.36	15358	382286	0.040	bbI		
197	197	HS Batch 5	HS-299	Analyte		8.36	1508	384193	0.004	bbI		
198	198	HS Batch 5	HS-300	Analyte		8.36	11677	366356	0.032	bbI		
199	199	HS Batch 5	HS-301	Analyte		8.36	20409	688814	0.030	bbI		
200	200	HS Batch 5	HS-302	Analyte		8.36	9322	745564	0.013	bbI		
201	201	HS Batch 5	HS-303	Analyte		8.36	2952	223073	0.013	bbI		
202	202	HS Batch 5	HS-304	Analyte		8.36	4117	260740	0.016	bbI		
203	203	HS Batch 5	HS-305	Analyte		8.36	5213	297336	0.018	bbI		
204	204	HS Batch 5	HS-306	Analyte		8.38	1581	327892	0.005	bbI		
205	205	HS Batch 5	HS-307	Analyte		8.38	7081	236321	0.030	bbI		
206	206	HS Batch 5	HS-308	Analyte		8.38	8406	335477	0.025	bbI		
207	207	HS Batch 5	HS-309	Analyte		8.38	4583	661128	0.007	bbI		
208	208	HS Batch 5	HS-5_242_1911_G	Analyte		8.38	5696	352506	0.016	bbI		
209	209	HS Batch 5	HS-5_259_1911_G	Analyte		8.38	6618	361995	0.018	bbI		
210	210	HS Batch 5	BLANK_19112018_B	Blank		8.48	187			bb		

Compound 11:  putative_2Oacetylsalicort_iso2_2ion

	#	ID	Name	Type	Std. Conc	RT	Area	IS Area	Response	Detection Flags	Conc.	%Dev
1	1	HS Batch 1	SalicinSTD_0015_0711_A	Standard	0.0000			435155				
2	2	HS Batch 1	SalicinSTD_003_0711_A	Standard	0.0000	9.11	31	450292	0.000	bb	0.041866	
3	3	HS Batch 1	SalicinSTD_015_0711_A	Standard	0.0000			467967				
4	4	HS Batch 1	SalicinSTD_0375_0711_A	Standard	0.0000			469299				
5	5	HS Batch 1	BLANK_07112018_B	Blank		9.01	6	50	0.121	bbI		
6	6	HS Batch 1	SalicortinSTD_0015_0711_A	Standard	0.0000	9.31	95	505405	0.000	bb	0.135677	
7	7	HS Batch 1	SalicortinSTD_003_0711_A	Standard	0.0000	9.37	87	526289	0.000	bb	0.115865	
8	8	HS Batch 1	SalicortinSTD_015_0711_A	Standard	0.0000	9.39	4	550080	0.000	bb	0.004321	
9	9	HS Batch 1	SalicortinSTD_0375_0711_A	Standard	0.0000	8.98	8	559202	0.000	bb	0.008088	
10	10	HS Batch 1	SalicortinSTD_075_0711_A	Standard	0.0000			535144				
11	11	HS Batch 1	SalicortinSTD_100_0711_A	Standard	0.0000	9.19	6	538973	0.000	bb	0.006694	
