Quantify Compound Summary Report 

Printed Fri Nov 09 10:38:52 2018

Compound 1:  Salicin_2ion

	#	ID	Name	Type	Std. Conc	RT	Area	IS Area	Response	Detection Flags	Conc.	%Dev
52	52	HS Batch 1	HS-24	Analyte		16.11	464277	598305	0.776	bb	0.071184	
53	53	HS Batch 1	HS-25	Analyte		16.13	269586	611470	0.441	bb	0.039971	
54	54	HS Batch 1	HS-1_250_0711_C	Analyte		16.11	1873359	606767	3.087	bb	0.311602	
55	55	HS Batch 1	HS-1_299_0711_C	Analyte		16.11	2111918	645452	3.272	bb	0.333232	
56	56	HS Batch 1	HS-26	Analyte		16.13	721834	606813	1.190	bb	0.110784	
57	57	HS Batch 1	HS-27	Analyte		16.11	1452516	599755	2.422	bb	0.237061	
58	58	HS Batch 1	HS-28	Analyte		16.13	1011428	608364	1.663	bb	0.157677	
59	59	HS Batch 1	HS-29	Analyte		16.13	529588	602246	0.879	bb	0.080966	
60	60	HS Batch 1	HS-30	Analyte		16.11	475421	647534	0.734	bb	0.067251	
61	61	HS Batch 1	HS-31	Analyte		16.09	1122837	665358	1.688	bb	0.160210	
62	62	HS Batch 1	HS-32	Analyte		16.09	213794	627067	0.341	bb	0.030805	
63	63	HS Batch 1	HS-33	Analyte		16.11	211757	643175	0.329	bb	0.029735	
64	64	HS Batch 1	HS-34	Analyte		16.09	404778	665299	0.608	bb	0.055482	
65	65	HS Batch 1	HS-35	Analyte		16.09	908627	643253	1.413	bb	0.132668	
66	66	HS Batch 1	HS-36	Analyte		16.09	713030	672742	1.060	bb	0.098234	
67	67	HS Batch 1	HS-37	Analyte		16.09	248550	653419	0.380	bb	0.034415	
68	68	HS Batch 1	HS-38	Analyte		16.09	458012	666674	0.687	bb	0.062823	
69	69	HS Batch 1	HS-1_250_0711_D	Analyte		16.09	1960912	684560	2.864	bb	0.286054	
70	70	HS Batch 1	HS-1_299_0711_D	Analyte		16.07	2167254	673395	3.218	bb	0.326903	

Compound 8:  d6-SALICYLIC ACID (ISTD)

	#	ID	Name	Type	Std. Conc	RT	Area	IS Area	Response	Detection Flags	Conc.	%Dev
