Dish.ID,gen.num,genet.lf,vial.num,lf.init.wetmass_mg,lf.init.drymass_mg,lf.end.drymass_mg,gm.init.wetmass_mg,gm.init.drymass_mg,gm.end.drymass_mg,start.date_dmy,start.time_2400,start_24:00:00,end.date_dmy,end.time_2400,end_24:00:00,molting_bin
1B,1,135,43B,289.7,,86.7,69.3,,10,09-Jun-18,1855,18:55:00,11-Jun-18,824,8:24:00,1
2B,1,91,11B,277.7,,57.1,89.7,,14.5,09-Jun-18,1900,19:00:00,11-Jun-18,825,8:25:00,0
9B,1,189,5B,190.3,,56.5,79.8,,12.8,09-Jun-18,1902,19:02:00,11-Jun-18,827,8:27:00,1
14B,1,135,44B,248,,79.9,81.6,,9.4,09-Jun-18,1904,19:04:00,11-Jun-18,827,8:27:00,1
16B,1,333,17B,291,,85.3,71.8,,9.2,09-Jun-18,1906,19:06:00,11-Jun-18,821,8:21:00,1
17B,1,141,51B,336,,105.8,83.4,,9.6,09-Jun-18,1908,19:08:00,11-Jun-18,822,8:22:00,1
24B,1,58,6B,280.2,,58,75.1,,14.5,09-Jun-18,1913,19:13:00,11-Jun-18,820,8:20:00,0
26B,1,141,52B,331.7,,68,77.2,,21.8,09-Jun-18,1912,19:12:00,11-Jun-18,814,8:14:00,0
27B,1,138,47B,241.8,,93.6,70.1,,15.8,09-Jun-18,1914,19:14:00,11-Jun-18,823,8:23:00,0
28B,1,333,18B,232,,42.5,80.1,,13.5,09-Jun-18,1915,19:15:00,11-Jun-18,817,8:17:00,0
29B,1,182,15B,195.3,,73.5,70,,12.5,09-Jun-18,1906,19:06:00,11-Jun-18,818,8:18:00,1
34B,1,237,53B,272.2,,94.8,76.4,,8.1,09-Jun-18,1907,19:07:00,11-Jun-18,828,8:28:00,1
37B,1,186,57B,293,,94.3,89.3,,7.6,09-Jun-18,1909,19:09:00,11-Jun-18,829,8:29:00,1
45B,1,91,12B,307.1,,89.2,78.8,,13.5,09-Jun-18,1910,19:10:00,11-Jun-18,816,8:16:00,0
12B,1,174,14B,343.6,,107.2,89.2,,27.5,09-Jun-18,1905,19:05:00,11-Jun-18,826,8:26:00,0
19B,1,16,58B,227.1,,83.5,76,,9,09-Jun-18,1910,19:10:00,11-Jun-18,824,8:24:00,1
1,2,203,7,332.8,,103.2,81.1,,13.2,07-Jun-18,1911,19:11:00,08-Jun-18,1900,19:00:00,1
2,2,268,37,279.5,,94.3,86.9,,12.7,07-Jun-18,1913,19:13:00,08-Jun-18,1900,19:00:00,1
3,2,178,61,249.9,,94.9,81.4,,22.1,07-Jun-18,1915,19:15:00,09-Jun-18,800,8:00:00,0
4,2,368,13,326.9,,100.9,81.1,,17.9,07-Jun-18,1917,19:17:00,09-Jun-18,801,8:01:00,0
5,2,6,100,296.3,,76.3,76.2,,21.7,07-Jun-18,1919,19:19:00,09-Jun-18,802,8:02:00,0
6,2,335,55,249.8,,99.3,71,,14.1,07-Jun-18,1924,19:24:00,09-Jun-18,803,8:03:00,0
7,2,189,103,188.1,,45.2,69.3,,20.1,07-Jun-18,1927,19:27:00,09-Jun-18,804,8:04:00,0
8,2,66,88,352.9,,99.2,89.7,,25.8,07-Jun-18,1933,19:33:00,09-Jun-18,804,8:04:00,0
9,2,178,62,259.1,,77.4,79.8,,29.9,07-Jun-18,1935,19:35:00,09-Jun-18,806,8:06:00,1
10,2,310,49,232.8,,46.4,81.6,,25.2,07-Jun-18,1936,19:36:00,09-Jun-18,806,8:06:00,0
11,2,268,38,247.5,,73.1,71.8,,16.9,07-Jun-18,1938,19:38:00,09-Jun-18,807,8:07:00,0
12,2,336,31,212.1,,58.1,83.4,,13.2,07-Jun-18,1939,19:39:00,09-Jun-18,809,8:09:00,1
13,2,310,50,259.6,,79,75.1,,19,07-Jun-18,1940,19:40:00,09-Jun-18,812,8:12:00,0
14,2,66,89,303,,72.5,77.2,,12,07-Jun-18,1940,19:40:00,08-Jun-18,1900,19:00:00,1
15,2,335,56,201.7,,69.9,70.1,,13.7,07-Jun-18,1943,19:43:00,09-Jun-18,814,8:14:00,0
16,2,138,28,300.4,,98.6,80.1,,11.4,07-Jun-18,1943,19:43:00,08-Jun-18,1900,19:00:00,1
17,2,256,34,336.8,,121.2,70,,9.3,07-Jun-18,1944,19:44:00,08-Jun-18,1900,19:00:00,1
18,2,158,1,227.3,,62.8,76.4,,22.4,07-Jun-18,1945,19:45:00,09-Jun-18,816,8:16:00,0
19,2,143,76,440.7,,109.3,89.3,,15.9,07-Jun-18,1946,19:46:00,09-Jun-18,818,8:18:00,1
20,2,256,35,325.4,,85.5,78.8,,19.6,07-Jun-18,1946,19:46:00,09-Jun-18,820,8:20:00,0
21,2,24,58,230.2,,64.7,89.2,,26.7,07-Jun-18,1947,19:47:00,09-Jun-18,820,8:20:00,0
22,2,168,95,249.1,,86.1,76,,13.7,07-Jun-18,1953,19:53:00,09-Jun-18,822,8:22:00,0
23,2,207,22,247.2,,86.6,70.2,,18.4,07-Jun-18,1954,19:54:00,09-Jun-18,822,8:22:00,0
24,2,24,59,195.9,,63,72.1,,11.6,07-Jun-18,1954,19:54:00,08-Jun-18,1900,19:00:00,1
25,2,5,71,236.7,,27.5,71.8,,22.1,07-Jun-18,1955,19:55:00,09-Jun-18,824,8:24:00,0
26,2,207,23,287.4,,117.3,88.2,,13,07-Jun-18,1956,19:56:00,08-Jun-18,1900,19:00:00,1
27,2,158,2,134,,46,77.8,,11.3,07-Jun-18,1957,19:57:00,08-Jun-18,1900,19:00:00,1
28,2,320,40,290.9,,110.1,83.3,,10.9,07-Jun-18,1957,19:57:00,08-Jun-18,1900,19:00:00,1
29,2,6,101,248.9,,84.4,76.3,,11.1,07-Jun-18,1958,19:58:00,08-Jun-18,1900,19:00:00,1
30,2,176,97,267.9,,29.9,76.5,,26.1,07-Jun-18,1959,19:59:00,09-Jun-18,827,8:27:00,0
31,2,320,41,233.6,,25.1,76.2,,22.4,07-Jun-18,2000,20:00:00,09-Jun-18,827,8:27:00,0
32,2,318,73,287.6,,88.7,83.3,,18.2,07-Jun-18,2001,20:01:00,09-Jun-18,829,8:29:00,0
33,2,176,98,301.2,,38.8,89.8,,24.8,07-Jun-18,2002,20:02:00,09-Jun-18,829,8:29:00,0
34,2,58,86,140.6,,17.9,72.7,,15.8,07-Jun-18,2003,20:03:00,09-Jun-18,829,8:29:00,1
35,2,336,32,234.6,,42.3,79.5,,19.8,07-Jun-18,2005,20:05:00,09-Jun-18,829,8:29:00,0
36,2,318,74,256.3,,54.8,69.5,,19.7,07-Jun-18,2005,20:05:00,09-Jun-18,830,8:30:00,0
37,2,58,87,211.8,,69,83.3,,18.6,07-Jun-18,2012,20:12:00,09-Jun-18,831,8:31:00,1
38,2,5,72,247.1,,58.1,87.6,,23.8,07-Jun-18,2013,20:13:00,09-Jun-18,831,8:31:00,0
39,2,174,21,293.7,,101,77.1,,19.2,07-Jun-18,2015,20:15:00,09-Jun-18,832,8:32:00,0
40,2,368,15,246.7,,80.2,76.1,,16.7,07-Jun-18,2016,20:16:00,09-Jun-18,832,8:32:00,0
41,2,168,96,233.9,,87.7,75.2,,21.2,07-Jun-18,2017,20:17:00,09-Jun-18,832,8:32:00,0
42,2,203,9,356.9,,131,75.6,,15.7,07-Jun-18,2017,20:17:00,09-Jun-18,832,8:32:00,0
43,2,138,30,232.3,,81.7,81.1,,30.8,07-Jun-18,2018,20:18:00,09-Jun-18,833,8:33:00,0
44,2,171,84,324,,118.4,86.9,,24,07-Jun-18,2018,20:18:00,09-Jun-18,833,8:33:00,0
45,2,143,78,424.4,,114.3,81.4,,11.8,07-Jun-18,2019,20:19:00,08-Jun-18,1900,19:00:00,1
